Unnamed: 0,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE
5921,Dealer,Under Construction,Not Approved,3,BHK,1625.301999,Not Ready,Resale,"Noida Sector-150 ATS Le Grandiose,Noida",28.530661,77.372736,74.0
5922,Owner,Under Construction,Approved,2,BHK,850.0772798,Not Ready,Resale,"Sector-129 Noida,Noida",28.507373,77.386719,44.0
5923,Owner,Completed,Not Approved,2,BHK,1045.150502,Ready,Resale,"New Mehul Nagar,Jamnagar",22.47,70.07,25.0
5924,Owner,Completed,Approved,2,BHK,1150.22656,Ready,Resale,"Rampur Ghana,Amroha",28.858274,78.465166,33.0
5925,Owner,Completed,Not Approved,2,BHK,1254.0640970000002,Ready,Resale,"ITI Layout,Bangalore",12.96991,77.59796,81.0
5926,Dealer,Completed,Not Approved,3,BHK,2100.006614,Ready,Resale,"Cuffe Parade,Lalitpur",18.9147285,72.8202265,1270.0
5927,Dealer,Completed,Not Approved,2,BHK,1100.046318,Ready,Resale,"Sector 5 Ulwe,Lalitpur",22.575343,88.433715,95.0
5928,Dealer,Completed,Approved,3,BHK,1332.149201,Ready,Resale,"Dhanori,Pune",18.578765,73.890693,90.0
5929,Dealer,Under Construction,Not Approved,2,BHK,1289.62536,Not Ready,Resale,"Sarjapur,Bangalore",12.86,77.786,89.5
5930,Owner,Completed,Not Approved,2,BHK,1350.135014,Ready,Resale,"Sahibabad,Ghaziabad",28.6711,77.3683,45.0
5931,Owner,Completed,Approved,2,BHK,880.0433252,Ready,Resale,"Jwalapur,Haridwar",29.9243,78.1076,32.5
5932,Owner,Completed,Not Approved,2,BHK,1079.913607,Ready,Resale,"Satya Nagar,Bhubaneswar",20.2814,85.849075,40.0
5933,Owner,Completed,Approved,3,BHK,1279.863481,Ready,Resale,"Sector-134 Noida,Noida",28.5041,77.381557,60.0
5934,Dealer,Completed,Not Approved,2,BHK,457.321174,Ready,Resale,"Evershine Nagar,Mumbai",24.090195,87.990011,170.0
5935,Dealer,Under Construction,Approved,3,BHK,1884.210526,Not Ready,Resale,,26.781748,81.006714,71.6
5936,Dealer,Completed,Not Approved,2,BHK,1600.0,Ready,Resale,"Sector-8 Ulwe,Maharashtra",19.216097,72.821721,120.0
5937,Owner,Completed,Not Approved,2,BHK,900.090009,Ready,Resale,"Sonarpur,Kolkata",22.4426,88.4304,40.0
5938,Builder,Completed,Not Approved,2,BHK,1281.553398,Ready,New,"Baker Hill,Kottayam",9.594191,76.52426899999999,66.0
5939,Owner,Completed,Not Approved,1,BHK,702.202362,Ready,Resale,"Alok Nagar,Indore",22.72056,75.84722,22.0
5940,Dealer,Under Construction,Approved,2,BHK,1093.135111,Not Ready,Resale,"Balewadi,Pune",18.097689000000003,74.735239,75.0
5941,Owner,Completed,Not Approved,2,BHK,1098.283931,Ready,Resale,"Bhuwana,Udaipur",24.617977,73.708104,35.2
5942,Dealer,Completed,Approved,2,BHK,1750.996256,Ready,Resale,"Rajaji Nagar,Bangalore",12.9847,77.5491,290.0
5943,Dealer,Completed,Not Approved,2,BHK,1109.877913,Ready,Resale,"Ajmer Road,Jaipur",26.928785,75.828002,20.0
5944,Dealer,Under Construction,Not Approved,2,BHK,621.1180124,Not Ready,Resale,"Salap,Kolkata",22.614897,88.266824,16.0
5945,Dealer,Completed,Approved,1,BHK,630.0630062999999,Ready,Resale,"Virar West,Lalitpur",19.4559,72.8114,28.0
5946,Dealer,Completed,Not Approved,2,BHK,1100.352113,Ready,Resale,"Mansarovar Extension,Jaipur",26.8626,75.7633,25.0
5947,Dealer,Completed,Approved,1,BHK,366.3423011,Ready,New,"Hinjewadi,Pune",18.5853,73.7413,32.0
5948,Dealer,Completed,Approved,3,BHK,2132.687763,Ready,Resale,"Borivali (East),Lalitpur",19.235,72.8598,370.0
5949,Owner,Completed,Not Approved,3,BHK,1330.180313,Ready,Resale,"palm avenue,Kolkata",22.54111,88.33778000000001,90.0
5950,Dealer,Completed,Not Approved,3,BHK,1260.126013,Ready,Resale,"Modinagar,Hapur",28.72795,77.78473000000001,28.0
5951,Dealer,Completed,Not Approved,2,BHK,1424.332344,Ready,Resale,"NH-8,Dharuhera",12.973237,77.64685899999999,24.0
5952,Owner,Completed,Not Approved,2,BHK,888.0308880000001,Ready,Resale,"Neeladri Nagar,Bangalore",12.986987,77.736436,46.0
5953,Owner,Under Construction,Not Approved,2,BHK,983.8369642,Not Ready,Resale,"Ajmer Road,Jaipur",26.928785,75.828002,28.0
5954,Dealer,Completed,Not Approved,4,BHK,3400.3548200000005,Ready,Resale,"Anjanapura,Bangalore",12.96991,77.59796,230.0
5955,Owner,Completed,Not Approved,1,BHK,565.1105651,Ready,Resale,"Revdanda,Raigad",18.5536,72.9256,23.0
5956,Dealer,Completed,Not Approved,3,BHK,1454.898157,Ready,Resale,"Suraksha Nagar,Bangalore",20.098413,79.10786,75.0
5957,Dealer,Completed,Approved,2,BHK,1019.965278,Ready,Resale,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,94.0
5958,Owner,Completed,Not Approved,3,BHK,1435.956347,Ready,Resale,"Jagatpura,Jaipur",26.832353,75.841749,50.0
5959,Owner,Completed,Not Approved,2,BHK,1042.011247,Ready,Resale,"Akshayanagara West,Bangalore",12.96991,77.59796,63.0
5960,Owner,Completed,Not Approved,3,BHK,1370.16094,Ready,Resale,"Kasavanhalli,Bangalore",12.9077,77.6755,63.0
5961,Dealer,Completed,Not Approved,2,BHK,1110.0148,Ready,Resale,"Sector-18 Ulwe,Mumbai",18.973908,73.02510600000001,90.0
5962,Dealer,Completed,Not Approved,2,BHK,1009.18357,Ready,Resale,,19.033956,73.075342,100.0
5963,Owner,Completed,Not Approved,2,BHK,1400.367309,Ready,Resale,"Shaheed Nagar,Bhopal",23.260765,77.386515,30.5
5964,Dealer,Completed,Not Approved,2,BHK,1250.0,Ready,Resale,"Mulund (West),Lalitpur",19.1759,72.9522,180.0
5965,Owner,Completed,Not Approved,3,BHK,1410.039481,Ready,Resale,"Mico Layout,Bangalore",12.911464,77.604916,75.0
5966,Owner,Completed,Not Approved,2,BHK,998.003992,Ready,Resale,"Medavakkam,Chennai",12.91716,80.19287,55.0
5967,Dealer,Under Construction,Approved,2,BHK,54225.69614,Not Ready,New,"Thane West,Lalitpur",19.18,72.96333,9990.0
5968,Dealer,Completed,Not Approved,3,BHK,1300.070274,Ready,Resale,"Mansarovar Extension,Jaipur",26.8626,75.7633,37.0
5969,Owner,Completed,Not Approved,2,BHK,1299.013712,Ready,Resale,"Ashiyana Colony,Lucknow",26.784408000000003,80.916026,54.0
5970,Owner,Completed,Not Approved,1,BHK,540.1026195000001,Ready,Resale,"Sarasnagar,Ahmednagar",19.08333,74.73333000000001,20.0
5971,Owner,Completed,Not Approved,1,BHK,650.0101563999999,Ready,Resale,"Narhe,Pune",18.442587,73.829832,32.0
5972,Owner,Completed,Not Approved,2,BHK,900.090009,Ready,Resale,"New Palasia,Indore",22.715073,75.879428,40.0
5973,Owner,Completed,Approved,2,BHK,1250.0,Ready,Resale,"Sector-3 Bahadurgarh,Bahadurgarh",19.000869,73.118903,35.0
5974,Dealer,Completed,Not Approved,2,BHK,990.0990099,Ready,Resale,"Sector-35G Kharghar,Lalitpur",24.69028,78.41889,85.0
5975,Owner,Under Construction,Not Approved,2,BHK,1200.0,Not Ready,Resale,"Alwar Bhiwadi Road,Bhiwadi",28.21,76.87,24.0
5976,Owner,Completed,Not Approved,3,BHK,1603.354711,Ready,Resale,"1st Block HRBR Layout,Bangalore",13.037343,77.628291,130.0
5977,Dealer,Completed,Not Approved,2,BHK,1149.330925,Ready,Resale,"Jijamata Nagar,Lalitpur",18.019094,76.067382,140.0
5978,Dealer,Completed,Approved,3,BHK,2485.659656,Ready,Resale,"Sector-66A Mohali,Mohali",30.661104,76.746082,130.0
5979,Owner,Completed,Not Approved,2,BHK,750.1071582000001,Ready,Resale,"Kestopur,Kolkata",22.605438,88.422084,35.0
5980,Dealer,Completed,Not Approved,2,BHK,1400.070004,Ready,Resale,"Camp,Pune",18.52361,73.84778,160.0
5981,Owner,Completed,Not Approved,2,BHK,1099.807534,Ready,Resale,"Babusapalaya,Bangalore",12.96991,77.59796,40.0
5982,Owner,Under Construction,Approved,2,BHK,1380.138014,Not Ready,Resale,"Sector-79 Noida,Noida",28.558047,77.392752,92.0
5983,Owner,Completed,Not Approved,1,BHK,900.9009009,Ready,Resale,"Talpur,Bhilai",21.17549,81.31277299999999,7.0
5984,Dealer,Completed,Not Approved,3,BHK,1385.224274,Ready,Resale,"Sector-120 Noida,Noida",28.585757,77.396668,63.0
5985,Dealer,Completed,Not Approved,3,BHK,1820.020222,Ready,Resale,"Goregaon (East),Maharashtra",19.1615,72.8731,450.0
5986,Dealer,Completed,Not Approved,1,BHK,325.0337299,Ready,Resale,"Nalasopara (West),Mumbai",18.96667,72.83333,26.5
5987,Dealer,Under Construction,Approved,3,BHK,2026.902524,Not Ready,Resale,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,110.0
5988,Owner,Completed,Not Approved,3,BHK,1664.402174,Ready,Resale,"Sodepur,Kolkata",22.69995,88.390833,49.0
5989,Dealer,Completed,Approved,3,BHK,2060.262683,Ready,Resale,"Kharadi,Pune",18.5438,73.9438,160.0
5990,Dealer,Completed,Not Approved,3,BHK,1721.170396,Ready,Resale,"Ardendale,Bangalore",50.817397,4.42145,90.0
5991,Dealer,Completed,Not Approved,2,BHK,1200.033104,Ready,Resale,"Oshiwara,Lalitpur",24.69028,78.41889,290.0
5992,Dealer,Under Construction,Not Approved,3,BHK,2600.104004,Not Ready,Resale,"1st Block Jayanagar,Bangalore",26.696758000000003,90.513797,450.0
5993,Dealer,Completed,Not Approved,2,BHK,1476.173415,Ready,Resale,"Sector 75 Faridabad,Faridabad",28.365512,77.34630600000001,41.2
5994,Owner,Completed,Not Approved,2,BHK,1070.090958,Ready,Resale,,28.506454,77.40956800000001,60.0
5995,Owner,Completed,Not Approved,3,BHK,1200.0,Ready,Resale,"Sakkardara,Nagpur",21.124831,79.115257,60.0
5996,Dealer,Under Construction,Approved,1,BHK,300.3102105,Not Ready,New,"Wadala East,Maharashtra",19.014858,72.8662,91.0
5997,Dealer,Completed,Not Approved,2,BHK,1300.236407,Ready,Resale,"Narendra Nagar Extension,Lalitpur",21.105779,79.078497,55.0
5998,Dealer,Under Construction,Not Approved,1,BHK,675.0,Not Ready,Resale,"Badlapur,Mumbai",18.96667,72.83333,27.0
5999,Owner,Completed,Not Approved,2,BHK,720.1355549,Ready,Resale,"Kankhal,Haridwar",29.892311,78.000723,25.5
6000,Dealer,Completed,Not Approved,3,BHK,1183.651805,Ready,Resale,,17.7,83.25,44.6
6001,Owner,Completed,Not Approved,3,BHK,999.0917348,Ready,Resale,"Sector-49 Noida,Noida",28.564519,77.366816,55.0
6002,Owner,Completed,Not Approved,2,BHK,1275.214468,Ready,Resale,"Ramanashree Enclave,Bangalore",12.96635,77.594999,55.0
6003,Dealer,Under Construction,Approved,1,BHK,739.98469,Not Ready,Resale,"Mira Road,Mumbai",19.283359,72.864964,58.0
6004,Dealer,Completed,Not Approved,2,BHK,1382.033564,Ready,Resale,"Singasandra,Bangalore",12.879728,77.650297,56.0
6005,Dealer,Completed,Not Approved,3,BHK,2385.211688,Ready,Resale,"MVP Colony,Visakhapatnam",17.742488,83.336016,200.0
6006,Dealer,Completed,Not Approved,2,BHK,956.0229446,Ready,Resale,"Chincholi Bunder,Lalitpur",24.6902,78.416,130.0
6007,Dealer,Completed,Approved,3,BHK,1520.417029,Ready,Resale,"Sector-129 Noida,Noida",28.507373,77.386719,52.5
6008,Owner,Completed,Not Approved,1,BHK,500.0,Ready,Resale,"Bagha Jatin Pally,Kolkata",22.485533,88.377625,18.0
6009,Owner,Completed,Not Approved,2,BHK,899.9280058,Ready,Resale,"Barisha,Kolkata",22.48475,88.322019,75.0
6010,Dealer,Completed,Not Approved,2,BHK,1150.040118,Ready,Resale,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,43.0
6011,Owner,Completed,Not Approved,2,BHK,1171.20954,Ready,Resale,"Amruthahalli,Bangalore",13.063752,77.605027,55.0
6012,Dealer,Completed,Approved,2,BHK,1295.081967,Ready,Resale,"Sector-107 Noida,Noida",28.546788,77.37849399999999,79.0
6013,Owner,Under Construction,Not Approved,3,BHK,2622.498275,Not Ready,Resale,"MVP Colony,Visakhapatnam",17.742488,83.336016,190.0
6014,Dealer,Completed,Not Approved,3,BHK,1873.529412,Ready,Resale,"Sirsi Road,Jaipur",27.073397,75.594316,63.7
6015,Owner,Completed,Not Approved,2,BHK,1060.511541,Ready,Resale,"Aazva Ros,Vadodara",21.0,77.0,17.0
6016,Dealer,Completed,Not Approved,3,BHK,1954.040957,Ready,Resale,"Prince Anwar Shah Rd.,Kolkata",22.56972,88.36972,250.0
6017,Dealer,Under Construction,Approved,2,BHK,530.0051291,Not Ready,New,"Ambernath,Mumbai",18.96,72.82,31.0
6018,Owner,Completed,Not Approved,2,BHK,890.0756564,Ready,Resale,"Karanai Puthuchery,Kanchipuram",12.630713,80.140761,40.0
6019,Dealer,Completed,Not Approved,1,BHK,577.7777778,Ready,Resale,"Hiranandani Gardens - Powai,Lalitpur",19.124896,72.89350300000001,130.0
6020,Owner,Completed,Approved,3,BHK,2104.820038,Ready,Resale,"Sector-78 Noida,Noida",28.560719,77.386208,100.0
6021,Dealer,Completed,Not Approved,2,BHK,1180.080245,Ready,Resale,"Adharwadi,Lalitpur",24.69028,78.41889,100.0
6022,Dealer,Completed,Not Approved,2,BHK,1100.28293,Ready,Resale,"Chhalera,Noida",28.57,77.32,35.0
6023,Owner,Completed,Not Approved,3,BHK,1275.148767,Ready,Resale,"8th Phase JP Nagar,Bangalore",12.905368,77.580403,45.0
6024,Dealer,Completed,Not Approved,3,BHK,1350.135014,Ready,Resale,"Mansarovar Extension,Jaipur",26.8626,75.7633,30.0
6025,Dealer,Under Construction,Approved,1,BHK,427.06652750000006,Not Ready,New,"Anjurdive,Maharashtra",18.96,72.82,45.0
6026,Dealer,Completed,Approved,2,BHK,1546.391753,Ready,Resale,"Mansarovar,Jaipur",26.8626,75.7633,63.0
6027,Dealer,Completed,Approved,1,BHK,707.2135785,Ready,Resale,"Wadala,Lalitpur",24.69028,78.41889,170.0
6028,Owner,Completed,Not Approved,2,BHK,989.0730972,Ready,Resale,"Teghoria,Kolkata",22.620289,88.43493000000001,52.5
6029,Dealer,Completed,Not Approved,2,BHK,1080.951237,Ready,Resale,"Echamuku,Kochi",9.930471,76.271273,45.0
6030,Dealer,Completed,Not Approved,2,BHK,938.4615385,Ready,Resale,"Ambal Nagar,Chennai",13.09,80.27,48.8
6031,Dealer,Under Construction,Approved,2,BHK,671.0283509,Not Ready,Resale,"Dhokali,Maharashtra",18.142544,75.10616999999999,120.0
6032,Dealer,Completed,Not Approved,3,BHK,1885.0,Ready,Resale,"Yendada,Visakhapatnam",17.776084,83.366665,75.4
6033,Dealer,Under Construction,Approved,1,BHK,649.9682942000001,Not Ready,Resale,"Malad (West),Maharashtra",19.1849,72.8347,82.0
6034,Builder,Under Construction,Approved,2,BHK,565.5816951,Not Ready,New,"Karjat,Mumbai",18.96667,72.83333,35.1
6035,Dealer,Under Construction,Not Approved,3,BHK,1259.459459,Not Ready,Resale,"Bariatu,Ranchi",23.399528,85.357421,46.6
6036,Dealer,Completed,Not Approved,3,BHK,1022.222222,Ready,Resale,"Konnagar,Kolkata",22.7,88.35,23.0
6037,Owner,Completed,Approved,3,BHK,1805.054152,Ready,Resale,"Sector-79 Noida,Noida",28.558047,77.392752,120.0
6038,Owner,Completed,Not Approved,2,BHK,1000.0,Ready,Resale,"Crossing Republik,Ghaziabad",28.629811,77.434197,33.0
6039,Dealer,Completed,Not Approved,2,BHK,809.9625392,Ready,Resale,"Chembur,Mumbai",19.05871,72.89969,160.0
6040,Dealer,Completed,Not Approved,3,BHK,1229.773463,Ready,Resale,"Chembur,Maharashtra",19.05871,72.89969,190.0
6041,Dealer,Completed,Not Approved,1,BHK,585.0234009,Ready,Resale,"Wadala East,Mumbai",19.014858,72.8662,120.0
6042,Owner,Completed,Not Approved,3,BHK,1550.034192,Ready,Resale,"Sector-75 Noida,Noida",28.576117,77.382136,68.0
6043,Owner,Completed,Not Approved,3,BHK,1500.245942,Ready,Resale,"Godhani Road,Nagpur",20.809158,79.278263,30.5
6044,Owner,Completed,Not Approved,2,BHK,1065.029445,Ready,Resale,"Sector-99 Noida,Noida",28.543278000000004,77.358896,85.0
6045,Owner,Completed,Not Approved,2,BHK,620.1550387999999,Ready,Resale,"Anekal,Bangalore",12.732961,77.707059,20.0
6046,Owner,Under Construction,Approved,3,BHK,1673.767498,Not Ready,Resale,"Sector-150 Noida,Noida",28.429614,77.481711,110.0
6047,Dealer,Completed,Not Approved,3,BHK,1879.699248,Ready,Resale,"Kharadi,Pune",18.5438,73.9438,170.0
6048,Dealer,Completed,Not Approved,2,BHK,850.1118567999999,Ready,Resale,"Dum Dum,Kolkata",22.648322,88.4431525,38.0
6049,Dealer,Under Construction,Approved,2,BHK,1124.891837,Not Ready,Resale,"Manewada,Nagpur",21.093676,79.111965,39.0
6050,Dealer,Under Construction,Approved,1,BHK,578.3783784,Not Ready,Resale,"Kulhan,Dehradun",30.33,78.06,21.4
6051,Dealer,Completed,Approved,5,BHK,4092.769441,Ready,Resale,"Pallavi Nagar,Bhopal",23.185921,77.44559699999999,120.0
6052,Dealer,Completed,Not Approved,3,BHK,1492.219143,Ready,Resale,"Powai,Lalitpur",19.12,72.91,420.0
6053,Owner,Completed,Not Approved,2,BHK,930.1442673,Ready,Resale,"Nayapura,Bhopal",23.11485,77.565196,24.5
6054,Owner,Completed,Not Approved,1,BHK,465.1162791,Ready,Resale,"Pragati Vihar,Indore",28.5831,77.2344,12.0
6055,Dealer,Completed,Approved,3,BHK,712.1057986000001,Ready,Resale,"Hiranandani Estate,Mumbai",19.255098,72.9815265,140.0
6056,Dealer,Completed,Approved,2,BHK,1234.735414,Ready,Resale,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,18.2
6057,Dealer,Completed,Approved,2,BHK,930.0265722,Ready,Resale,"Sector-74 Noida,Noida",28.577673,77.389781,42.0
6058,Dealer,Under Construction,Not Approved,3,BHK,1899.509804,Not Ready,Resale,"Chitrakoot,Jaipur",26.91667,75.86667,62.0
6059,Dealer,Completed,Not Approved,2,BHK,850.0239069,Ready,Resale,"Irani Wadi,Lalitpur",24.69028,78.41889,160.0
6060,Dealer,Under Construction,Not Approved,1,BHK,534.0,Not Ready,Resale,"Sainath Nagar,Pune",18.628795,73.85299300000001,26.7
6061,Dealer,Completed,Not Approved,2,BHK,883.1521739,Ready,Resale,"Noida Extension,Noida",28.579004,77.431173,32.5
6062,Dealer,Completed,Approved,3,BHK,2092.050209,Ready,Resale,"Sector-81 Gurgaon,Gurgaon",28.388225,76.946376,170.0
6063,Dealer,Completed,Not Approved,2,BHK,751.9640853,Ready,Resale,"Unnati Dham,Pune",18.52361,73.84778,33.5
6064,Builder,Under Construction,Approved,3,BHK,1316.777963,Not Ready,New,"Thanisandra,Bangalore",13.055985,77.622157,63.1
6065,Dealer,Completed,Approved,3,BHK,1687.1165640000002,Ready,Resale,"Baner,Pune",18.558319,73.77588,110.0
6066,Dealer,Completed,Not Approved,2,BHK,1025.01025,Ready,Resale,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,25.0
6067,Dealer,Completed,Approved,3,BHK,1580.398162,Ready,Resale,"Zirakpur,Chandigarh",30.662283,76.822397,51.6
6068,Dealer,Under Construction,Approved,1,BHK,424.5363281000001,Not Ready,New,"Kalyan (West),Mumbai",19.245347,73.124577,49.9
6069,Dealer,Completed,Approved,1,BHK,533.1088664,Ready,Resale,"Avadi,Chennai",21.490368,73.338475,19.0
6070,Owner,Completed,Not Approved,2,,1280.2275960000002,Ready,Resale,"Adajan,Surat",24.395822,78.989627,45.0
6071,Dealer,Completed,Not Approved,3,BHK,1105.237866,Ready,Resale,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,46.0
6072,Dealer,Completed,Approved,3,BHK,2010.526316,Ready,Resale,"Mansarovar,Jaipur",26.8626,75.7633,76.4
6073,Dealer,Under Construction,Approved,2,BHK,770.0351744,Not Ready,New,"Baner,Pune",18.558319,73.77588,81.0
6074,Dealer,Completed,Not Approved,2,BHK,915.1572927,Ready,Resale,"Prince Anwar Shah Road Connector,Kolkata",22.54111,88.33778000000001,48.0
6075,Owner,Completed,Not Approved,2,BHK,1300.052002,Ready,Resale,"Baggikhana,Vadodara",22.3,73.2,25.0
6076,Dealer,Completed,Approved,2,BHK,980.3921569,Ready,New,"Wardha Road,Lalitpur",20.75,78.61667,17.5
6077,Dealer,Completed,Not Approved,2,BHK,1200.0,Ready,Resale,,24.69028,78.41889,120.0
6078,Dealer,Completed,Not Approved,4,BHK,15981.24867,Ready,Resale,"Chembur,Lalitpur",19.05871,72.89969,750.0
6079,Owner,Completed,Not Approved,3,BHK,1313.054978,Ready,Resale,"Kadamba Plateau,Goa",15.40194,74.04333000000001,69.5
6080,Dealer,Completed,Not Approved,2,BHK,950.0391193,Ready,Resale,"Sector 12 Kharghar,Lalitpur",19.042483,73.06637099999999,85.0
6081,Owner,Completed,Not Approved,3,BHK,1180.124224,Ready,Resale,"Nagapura,Bangalore",13.0038,77.5487,95.0
6082,Owner,Completed,Not Approved,2,BHK,746.2686567000001,Ready,Resale,"Islamabad,Amritsar",31.626993,74.84693100000001,11.5
6083,Owner,Completed,Not Approved,1,BHK,560.0194789,Ready,Resale,"Pandhari Nagar,Pune",18.52361,73.84778,46.0
6084,Dealer,Completed,Not Approved,2,BHK,1004.382761,Ready,Resale,"Pokhran-2,Maharashtra",19.371618,72.824114,110.0
6085,Dealer,Completed,Approved,4,BHK,1544.61203,Ready,New,"Hiranandani Estate,Mumbai",19.255098,72.9815265,340.0
6086,Owner,Completed,Approved,3,BHK,1209.9213550000002,Ready,Resale,"Devanahalli,Bangalore",13.23,77.7,60.0
6087,Dealer,Completed,Not Approved,3,BHK,1617.155915,Ready,Resale,"New Town,Kolkata",22.5922,88.484911,92.0
6088,Owner,Completed,Not Approved,2,BHK,780.2050825,Ready,Resale,"Sector-127 Mohali,Mohali",30.768683000000003,76.650876,17.5
6089,Owner,Completed,Not Approved,3,,2449.77952,Ready,Resale,"Cholanayakanahalli,Bangalore",13.035865,77.598244,200.0
6090,,Completed,Not Approved,3,BHK,1310.186702,Ready,Resale,"Shahpura,Bhopal",23.194217,77.42612,80.0
6091,Dealer,Completed,Approved,2,BHK,1080.0579,Ready,Resale,"Kolshet Road,Lalitpur",24.69028,78.41889,97.0
6092,Dealer,Completed,Approved,2,BHK,889.8776418,Ready,Resale,"Mango,Jamshedpur",22.835481,86.221099,32.0
6093,Owner,Completed,Not Approved,3,BHK,1440.189766,Ready,Resale,"Kalindipuram,Allahabad",25.426143,81.768024,85.0
6094,Dealer,Completed,Not Approved,5,BHK,1677.279964,Ready,New,"Goregaon (East),Lalitpur",19.1615,72.8731,590.0
6095,Dealer,Completed,Not Approved,3,BHK,1440.121273,Ready,Resale,"Sonari,Jamshedpur",22.830053,86.158521,57.0
6096,Dealer,Completed,Not Approved,2,BHK,909.0909091,Ready,Resale,"Dombivli (East),Maharashtra",19.2167,73.0833,54.0
6097,Dealer,Under Construction,Approved,2,BHK,675.1740139,Not Ready,New,"Old Madras Road,Bangalore",12.990758,77.656104,29.1
6098,Owner,Completed,Not Approved,3,BHK,1475.237092,Ready,Resale,"Ramamurthy Nagar,Bangalore",13.013312,77.662077,70.0
6099,Dealer,Completed,Not Approved,1,BHK,585.0234009,Ready,Resale,"Mira Road East,Lalitpur",19.2836,72.8675,60.0
6100,Dealer,Completed,Approved,2,BHK,1295.5605460000002,Ready,Resale,"Hadapsar,Pune",18.49667,73.94167,150.0
6101,Owner,Completed,Approved,1,BHK,630.169358,Ready,Resale,"Rau,Indore",22.63472,75.81139,16.0
6102,,Under Construction,Approved,1,BHK,351.9619501,Not Ready,New,"Bhadra Nagar,Mumbai",18.96667,72.83333,29.6
6103,Owner,Completed,Not Approved,1,BHK,485.0836769,Ready,Resale,"Madhuban Bapudham,Ghaziabad",28.707966,77.48760300000001,20.0
6104,Dealer,Completed,Approved,2,BHK,1274.088231,Ready,Resale,"Jeejamata Nagar,Mumbai",24.090195,87.990011,160.0
6105,Owner,Completed,Approved,2,BHK,1285.338593,Ready,Resale,"Crossing Republik,Ghaziabad",28.629811,77.434197,39.1
6106,Dealer,Completed,Not Approved,2,BHK,970.1202949,Ready,Resale,"Kasavanhalli,Bangalore",12.9077,77.6755,75.0
6107,Owner,Completed,Not Approved,2,BHK,900.0,Ready,Resale,"Benz Circle,Vijayawada",16.498176,80.656343,45.0
6108,Dealer,Completed,Not Approved,1,BHK,669.8664441000001,Ready,Resale,"Punawale,Pune",18.637802,73.745912,32.1
6109,Dealer,Under Construction,Approved,1,BHK,404.5268481,Not Ready,New,"Vikhroli (West),Maharashtra",19.11333,72.92156700000001,84.0
6110,Dealer,Completed,Not Approved,2,BHK,1248.0499220000002,Ready,Resale,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,48.0
6111,Dealer,Completed,Approved,3,BHK,1292.01053,Ready,Resale,"Khar West,Lalitpur",19.0705,72.8309,800.0
6112,Dealer,Completed,Approved,3,BHK,1368.925394,Ready,Resale,"Thane West,Lalitpur",19.18,72.96333,220.0
6113,Dealer,Completed,Approved,2,BHK,1185.164529,Ready,Resale,"Sector-18 Ulwe,Lalitpur",28.5706,77.3239,85.0
6114,Dealer,Completed,Not Approved,3,BHK,1905.265943,Ready,Resale,"Jagatpura,Jaipur",26.832353,75.841749,72.0
6115,Dealer,Completed,Approved,2,BHK,1075.032909,Ready,Resale,"Ghotkamp Koyana Vele,Lalitpur",24.69028,78.41889,49.0
6116,Dealer,Completed,Not Approved,2,BHK,1358.936484,Ready,Resale,"Hennur Road,Bangalore",13.0306,77.6485,92.0
6117,Dealer,Completed,Not Approved,3,BHK,984.1269841,Ready,Resale,"Chandivali,Lalitpur",24.69028,78.41889,310.0
6118,Dealer,Under Construction,Approved,2,BHK,1076.981902,Not Ready,Resale,"Kharadi,Pune",18.5438,73.9438,84.5
6119,Dealer,Completed,Not Approved,2,BHK,700.0112905,Ready,Resale,"Kothrud,Pune",18.5101,73.8141,62.0
6120,Owner,Completed,Approved,4,BHK,1799.8560120000002,Ready,Resale,"Pakhowal Road,Ludhiana",30.706256,75.70013399999999,75.0
6121,Dealer,Completed,Approved,3,BHK,1806.06839,Ready,Resale,"4 Bunglows,Lalitpur",24.69028,78.41889,450.0
6122,Dealer,Completed,Not Approved,4,BHK,2849.643795,Ready,Resale,"Sector-54 Gurgaon,Gurgaon",28.440728000000004,77.114195,380.0
6123,Owner,Completed,Not Approved,1,BHK,550.2567865,Ready,Resale,"Palanpur Patia,Surat",21.206327,72.79334399999999,7.5
6124,Dealer,Under Construction,Approved,2,BHK,1141.666667,Not Ready,New,"Whitefield,Bangalore",12.9958935,77.761394,68.5
6125,Owner,Completed,Approved,3,BHK,1494.768311,Ready,Resale,"Sahakara Nagar,Bangalore",13.064,77.58,140.0
6126,Dealer,Completed,Not Approved,2,BHK,1060.138782,Ready,Resale,"Taloja,Lalitpur",24.69028,78.41889,55.0
6127,Dealer,Under Construction,Approved,4,BHK,2710.0271,Not Ready,Resale,"Konanakunte,Bangalore",12.8855,77.5638,250.0
6128,Dealer,Under Construction,Approved,3,BHK,949.893137,Not Ready,New,"Harni,Vadodara",22.337395,73.225215,40.0
