Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,3,3,Manufacturing Director,2.0,Single,18264.0,0,Y,No,13,3,4.0,80,0,17,3.0,16,0
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,3,1,Research Scientist,,Divorced,16092.0,1,Y,No,12,3,3.0,80,2,4,2.0,4,0
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,2,2,Manufacturing Director,,Single,10110.0,6,Y,Yes,15,3,4.0,80,0,8,3.0,5,1
47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,3,2,Sales Representative,3.0,Single,25751.0,3,Y,No,19,3,1.0,80,0,5,3.0,0,0
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,3,4,Research Director,4.0,Single,15901.0,2,Y,No,14,3,2.0,80,0,16,3.0,1,0
29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,3,2,Sales Executive,3.0,Married,16928.0,1,Y,No,14,3,1.0,80,1,4,2.0,4,0
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,Male,3,1,Human Resources,3.0,Divorced,24017.0,0,Y,Yes,11,3,3.0,80,1,4,3.0,3,1
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,3,1,Laboratory Technician,2.0,Married,3956.0,1,Y,No,13,3,3.0,80,1,8,3.0,8,0
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,Female,3,3,Manager,3.0,Married,,3,Y,No,21,4,,80,1,15,1.0,0,0
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,4,2,Research Scientist,1.0,Divorced,,4,Y,Yes,13,3,1.0,80,2,13,3.0,7,6
30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,3,2,Sales Executive,,Married,6069.0,7,Y,Yes,12,3,2.0,80,1,4,4.0,2,2
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,3,2,Sales Executive,3.0,Married,,1,Y,No,17,3,2.0,80,1,8,3.0,8,7
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,Male,2,2,Healthcare Representative,,Single,17078.0,3,Y,No,23,4,2.0,80,0,14,3.0,1,0
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,2,1,Sales Representative,,Single,9150.0,1,Y,Yes,11,3,3.0,80,0,3,3.0,3,1
36,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,3,2,Sales Executive,4.0,Single,15276.0,4,Y,No,15,3,2.0,80,0,7,3.0,1,0
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,2,3,Sales Executive,4.0,Married,7246.0,4,Y,No,11,3,1.0,80,1,16,3.0,13,1
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,Male,3,2,Healthcare Representative,3.0,Married,2967.0,2,Y,No,11,3,3.0,80,0,15,3.0,3,1
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,Female,4,1,Laboratory Technician,3.0,Married,22495.0,3,Y,Yes,13,3,3.0,80,1,10,3.0,7,1
21,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,3,1,Sales Representative,4.0,Single,2851.0,1,Y,No,24,4,3.0,80,0,3,2.0,3,2
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,3,1,Sales Representative,3.0,Single,9150.0,1,Y,Yes,13,3,2.0,80,0,1,3.0,1,0
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,Female,3,1,Laboratory Technician,1.0,Married,17663.0,6,Y,No,20,4,2.0,80,1,17,3.0,5,0
46,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,Female,3,2,Manufacturing Director,3.0,Married,16044.0,2,Y,No,14,3,3.0,80,0,7,4.0,1,0
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,3,2,Sales Executive,,Single,9558.0,1,Y,No,18,3,3.0,80,0,8,3.0,8,7
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,Male,2,3,Healthcare Representative,4.0,Single,2755.0,6,Y,No,15,3,4.0,80,0,20,3.0,4,1
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,2,2,Sales Executive,,Married,6110.0,2,Y,Yes,12,3,1.0,80,2,8,3.0,6,1
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,2,1,Research Scientist,2.0,Single,7551.0,0,Y,Yes,16,3,,80,0,3,3.0,2,2
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,4,1,Sales Representative,,Single,25422.0,1,Y,No,15,3,4.0,80,0,1,3.0,1,0
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,Male,3,1,Research Scientist,,Single,18168.0,9,Y,No,16,3,4.0,80,0,6,,3,1
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,2,2,Healthcare Representative,2.0,Single,19394.0,9,Y,No,19,3,3.0,80,0,10,3.0,1,0
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,Male,3,1,Laboratory Technician,2.0,Divorced,17881.0,1,Y,No,11,3,2.0,80,1,5,3.0,5,0
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,Male,3,2,Sales Executive,4.0,Single,20750.0,1,Y,No,16,3,4.0,80,0,7,,7,0
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,Male,2,3,Healthcare Representative,3.0,Single,12066.0,8,Y,No,24,4,3.0,80,0,26,3.0,5,0
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,3,2,Sales Executive,,Married,,4,Y,No,11,3,3.0,80,1,18,2.0,7,0
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,Female,3,1,Research Scientist,3.0,Married,11868.0,4,Y,No,13,3,2.0,80,1,6,3.0,2,2
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,4,2,Sales Executive,,Single,,8,Y,Yes,13,3,2.0,80,0,9,2.0,5,0
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,3,4,Manager,4.0,Single,23258.0,2,Y,Yes,13,3,3.0,80,0,30,3.0,5,1
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,3,2,Sales Executive,3.0,Divorced,5915.0,1,Y,Yes,12,3,4.0,80,1,5,4.0,5,0
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,3,1,Sales Representative,2.0,Married,17434.0,1,Y,No,18,3,1.0,80,1,1,,1,0
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,Male,3,1,Research Scientist,1.0,Single,6582.0,0,Y,No,22,4,3.0,80,0,7,,6,0
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,3,1,Research Scientist,2.0,Married,24440.0,1,Y,No,13,3,4.0,80,1,2,3.0,2,1
36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,2,3,Sales Executive,3.0,Married,3809.0,1,Y,No,13,3,2.0,80,2,10,3.0,10,9
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,3,1,Research Scientist,4.0,Single,3427.0,9,Y,Yes,23,4,3.0,80,0,3,3.0,1,0
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,3,1,Laboratory Technician,1.0,Divorced,26914.0,1,Y,No,12,3,3.0,80,1,18,2.0,18,12
40,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,3,2,Sales Executive,,Divorced,22553.0,7,Y,No,12,3,3.0,80,2,8,3.0,5,1
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,3,1,Laboratory Technician,,Divorced,,3,Y,No,16,3,,80,1,8,3.0,5,1
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,Male,3,2,Manufacturing Director,2.0,Single,21123.0,2,Y,Yes,12,3,4.0,80,0,18,2.0,1,0
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,2,4,Research Director,2.0,Divorced,4345.0,1,Y,No,11,3,3.0,80,1,25,3.0,25,3
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,2,2,Laboratory Technician,3.0,Married,13436.0,6,Y,No,22,4,2.0,80,1,20,3.0,1,0
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,3,5,Research Director,1.0,Married,8509.0,4,Y,No,11,3,3.0,80,1,24,2.0,4,1
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,3,2,Sales Executive,,Married,,9,Y,No,15,3,1.0,80,1,6,3.0,3,1
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,3,2,Manufacturing Director,1.0,Married,4156.0,1,Y,No,12,3,2.0,80,1,13,1.0,13,3
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,3,1,Laboratory Technician,,Married,15238.0,7,Y,No,20,4,1.0,80,1,8,3.0,3,1
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,Female,3,2,Healthcare Representative,3.0,Divorced,2227.0,4,Y,Yes,14,3,4.0,80,0,8,3.0,5,0
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,2,2,Sales Executive,,Single,12090.0,1,Y,Yes,11,3,2.0,80,0,5,3.0,5,1
37,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,3,2,Research Scientist,3.0,Married,23866.0,3,Y,Yes,15,3,1.0,80,2,15,3.0,13,10
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,2,1,Laboratory Technician,1.0,Married,16193.0,1,Y,No,12,3,3.0,80,1,4,3.0,4,3
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,3,5,Manager,3.0,Divorced,8213.0,1,Y,Yes,14,3,3.0,80,1,21,3.0,21,1
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,4,4,Sales Executive,1.0,Married,18256.0,9,Y,No,11,3,4.0,80,3,36,2.0,7,7
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,3,2,Sales Executive,,Single,,0,Y,No,11,3,2.0,80,0,6,3.0,5,4
41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,4,3,Sales Executive,1.0,Married,19566.0,1,Y,No,16,3,3.0,80,1,10,3.0,10,0
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,3,2,Laboratory Technician,1.0,Divorced,13535.0,1,Y,No,12,3,4.0,80,1,10,3.0,10,1
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,3,1,Laboratory Technician,1.0,Married,9396.0,5,Y,No,13,3,3.0,80,1,6,3.0,2,0
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,2,3,Manufacturing Director,3.0,Married,19609.0,2,Y,Yes,14,3,3.0,80,0,28,3.0,5,0
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,3,1,Research Scientist,4.0,Married,9655.0,3,Y,No,21,4,4.0,80,2,8,2.0,2,0
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,Female,3,4,Manager,,Married,10310.0,2,Y,No,13,3,4.0,80,0,31,1.0,5,1
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,Female,3,2,Research Scientist,3.0,Divorced,12932.0,2,Y,No,11,3,,80,1,19,3.0,5,0
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,1,2,Manufacturing Director,,Single,24793.0,2,Y,No,20,4,3.0,80,0,11,3.0,5,0
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,3,5,Manager,,Married,3854.0,5,Y,No,11,3,4.0,80,0,33,,29,11
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,Female,3,2,Manufacturing Director,,Divorced,26314.0,2,Y,No,14,3,,80,1,19,2.0,10,0
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,2,2,Healthcare Representative,4.0,Married,,0,Y,No,11,3,4.0,80,3,7,4.0,6,0
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,3,1,Sales Representative,,Single,21972.0,1,Y,Yes,16,3,2.0,80,0,6,3.0,5,1
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,1,1,Sales Representative,3.0,Divorced,12253.0,0,Y,No,16,3,4.0,80,1,3,2.0,2,1
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,Male,3,1,Laboratory Technician,4.0,Married,12106.0,1,Y,Yes,23,4,,80,1,1,3.0,1,0
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,3,5,Manager,,Married,,0,Y,No,14,3,4.0,80,0,21,3.0,20,1
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,3,1,Research Scientist,4.0,Divorced,3032.0,1,Y,No,22,4,2.0,80,2,3,1.0,3,0
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,3,1,Laboratory Technician,4.0,Married,16734.0,4,Y,No,15,3,3.0,80,1,9,1.0,5,1
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,2,3,Research Director,,Married,,1,Y,No,18,3,3.0,80,0,10,3.0,10,0
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,Female,2,1,Research Scientist,2.0,Married,18300.0,5,Y,No,16,3,2.0,80,0,6,4.0,2,1
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,2,1,Human Resources,4.0,Single,18437.0,1,Y,No,12,3,3.0,80,0,1,4.0,1,0
30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,3,3,Sales Executive,1.0,Married,2890.0,0,Y,No,11,3,3.0,80,0,10,3.0,9,7
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,2,4,Manager,4.0,Divorced,22102.0,3,Y,No,12,3,,80,1,32,2.0,1,0
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,2,4,Manager,3.0,Married,9314.0,0,Y,No,15,3,2.0,80,1,28,,27,15
30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,3,1,Laboratory Technician,4.0,Single,7181.0,0,Y,No,14,3,3.0,80,0,12,,11,6
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,2,3,Sales Executive,1.0,Married,2845.0,4,Y,No,19,3,4.0,80,0,22,,18,13
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,3,2,Manufacturing Director,4.0,Divorced,7389.0,5,Y,No,13,3,3.0,80,3,20,3.0,5,0
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,3,4,Research Director,3.0,Married,2288.0,6,Y,No,13,3,3.0,80,0,26,1.0,3,0
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,Male,1,1,Laboratory Technician,3.0,Single,19225.0,0,Y,No,15,3,3.0,80,0,6,,5,4
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,3,2,Laboratory Technician,3.0,Single,23428.0,7,Y,No,11,3,3.0,80,0,19,3.0,1,0
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,Male,2,1,Research Scientist,,Divorced,8416.0,3,Y,No,12,3,3.0,80,1,14,3.0,7,5
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,2,3,Sales Executive,,Married,11563.0,2,Y,Yes,19,3,3.0,80,1,15,3.0,3,1
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,3,3,Manufacturing Director,2.0,Divorced,14394.0,1,Y,No,25,4,4.0,80,1,13,4.0,13,0
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,Male,3,3,Manager,3.0,Married,24619.0,7,Y,Yes,12,3,4.0,80,0,15,4.0,7,7
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,Male,1,1,Laboratory Technician,,Divorced,6705.0,7,Y,No,13,3,1.0,80,3,8,3.0,4,1
30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,3,1,Sales Representative,,Single,18398.0,0,Y,No,14,3,1.0,80,0,4,3.0,3,1
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,Male,3,3,Healthcare Representative,3.0,Married,14295.0,4,Y,Yes,12,3,3.0,80,0,10,3.0,8,0
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,Male,3,3,Healthcare Representative,,Married,22908.0,3,Y,No,12,3,1.0,80,0,12,,1,0
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,Female,3,3,Human Resources,1.0,Divorced,11533.0,9,Y,Yes,15,3,3.0,80,3,11,3.0,3,0
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,Male,3,1,Laboratory Technician,3.0,Married,9260.0,4,Y,No,17,3,4.0,80,1,8,3.0,2,2
36,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,3,3,Sales Executive,,Single,15318.0,1,Y,No,14,3,4.0,80,0,10,2.0,10,9
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,2,1,Laboratory Technician,,Single,9129.0,5,Y,No,16,3,3.0,80,0,4,3.0,2,1
48,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,3,2,Sales Executive,4.0,Married,19658.0,2,Y,No,14,3,1.0,80,1,14,3.0,9,6
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,3,4,Manager,2.0,Single,9873.0,3,Y,No,23,4,4.0,80,0,37,3.0,10,7
41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,3,2,Sales Executive,4.0,Single,13430.0,7,Y,No,14,3,4.0,80,0,16,3.0,14,1
35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,3,2,Sales Executive,3.0,Married,18659.0,9,Y,No,11,3,3.0,80,0,15,3.0,11,6
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,Female,3,4,Manufacturing Director,3.0,Single,20364.0,7,Y,No,15,3,3.0,80,0,22,3.0,20,5
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,3,Female,3,1,Laboratory Technician,3.0,Married,17872.0,1,Y,No,11,3,1.0,80,1,8,3.0,8,0
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,3,2,Sales Executive,,Single,8346.0,4,Y,Yes,13,3,3.0,80,0,10,4.0,6,0
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,3,3,Manufacturing Director,1.0,Married,6950.0,1,Y,Yes,21,4,4.0,80,1,10,2.0,10,5
45,No,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,3,2,Sales Executive,2.0,Married,16177.0,0,Y,No,19,3,2.0,80,1,9,4.0,8,3
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,3,1,Human Resources,3.0,Divorced,22808.0,0,Y,Yes,11,3,2.0,80,1,8,2.0,7,1
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,611,4,Male,3,2,Manufacturing Director,4.0,Divorced,22645.0,4,Y,No,12,3,2.0,80,2,8,4.0,3,1
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,612,1,Female,4,4,Research Director,3.0,Divorced,22578.0,4,Y,No,19,3,3.0,80,1,10,3.0,6,0
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,2,3,Manager,4.0,Divorced,25291.0,9,Y,No,21,4,3.0,80,1,10,2.0,5,0
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,3,1,Sales Representative,,Single,8059.0,1,Y,Yes,14,3,,80,0,0,3.0,0,0
40,No,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,1,3,Sales Executive,1.0,Divorced,11373.0,3,Y,No,15,3,3.0,80,1,20,3.0,1,0
41,No,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,2,2,Healthcare Representative,3.0,Single,2112.0,2,Y,Yes,17,3,1.0,80,0,10,3.0,8,0
26,No,Travel_Rarely,775,Sales,29,2,Medical,1,618,1,Male,3,2,Sales Executive,,Divorced,4267.0,5,Y,No,12,3,1.0,80,2,8,3.0,0,0
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,620,1,Female,3,2,Sales Executive,3.0,Single,6698.0,1,Y,No,16,3,4.0,80,0,5,3.0,5,0
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,4,Male,4,2,Sales Executive,4.0,Single,19921.0,1,Y,No,12,3,,80,0,10,,10,5
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,3,Male,1,1,Laboratory Technician,,Single,23213.0,1,Y,Yes,18,3,,80,0,1,1.0,1,0
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,2,Female,3,3,Manufacturing Director,4.0,Single,23848.0,4,Y,No,17,3,4.0,80,0,12,4.0,6,1
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,1,Female,3,3,Healthcare Representative,3.0,Married,8984.0,5,Y,No,11,3,4.0,80,0,28,2.0,2,1
41,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,1,625,2,Female,3,4,Manager,1.0,Married,5626.0,7,Y,No,16,3,2.0,80,1,22,,18,11
37,No,Non-Travel,142,Sales,9,4,Medical,1,626,1,Male,3,3,Sales Executive,2.0,Divorced,24666.0,1,Y,No,13,3,4.0,80,1,9,3.0,9,7
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,630,4,Male,3,2,Research Scientist,,Divorced,22087.0,3,Y,Yes,12,3,,80,2,18,3.0,10,6
32,Yes,Non-Travel,1474,Sales,11,4,Other,1,631,4,Male,4,2,Sales Executive,3.0,Married,23914.0,8,Y,No,12,3,,80,0,6,3.0,4,1
24,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,3,1,Sales Representative,4.0,Married,5530.0,0,Y,No,13,3,3.0,80,2,3,3.0,2,2
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,1,634,3,Female,3,2,Healthcare Representative,,Married,22174.0,3,Y,No,19,3,3.0,80,1,18,,1,0
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,635,2,Female,3,2,Manufacturing Director,2.0,Married,15701.0,6,Y,No,12,3,,80,1,8,2.0,6,4
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,638,4,Male,2,5,Research Director,3.0,Divorced,2125.0,1,Y,Yes,17,3,3.0,80,1,31,3.0,31,0
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,4,1,Research Scientist,,Married,21630.0,1,Y,Yes,11,3,2.0,80,2,6,,6,1
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,3,2,Sales Executive,,Married,7428.0,1,Y,No,20,4,4.0,80,2,6,4.0,5,1
24,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,2,1,Laboratory Technician,2.0,Married,9100.0,1,Y,No,21,4,4.0,80,1,1,3.0,1,0
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,644,1,Male,3,5,Manager,2.0,Married,7999.0,1,Y,No,11,3,3.0,80,1,32,3.0,32,10
25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,3,1,Sales Representative,,Married,26376.0,1,Y,No,11,3,3.0,80,0,7,3.0,7,0
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,3,1,Laboratory Technician,,Married,14168.0,1,Y,Yes,16,3,4.0,80,1,6,3.0,6,1
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,2,1,Sales Representative,1.0,Married,14470.0,1,Y,No,18,3,3.0,80,1,1,4.0,1,0
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,649,2,Male,2,1,Research Scientist,4.0,Married,22794.0,1,Y,Yes,13,3,4.0,80,1,6,3.0,6,1
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,3,2,Sales Executive,1.0,Divorced,11512.0,2,Y,No,17,3,3.0,80,0,9,,3,1
35,No,Travel_Rarely,538,Research & Development,25,2,Other,1,652,1,Male,2,2,Laboratory Technician,4.0,Single,,4,Y,No,14,3,4.0,80,0,9,3.0,3,0
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,4,2,Sales Executive,4.0,Divorced,6219.0,4,Y,No,22,4,4.0,80,2,13,4.0,7,5
27,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,655,1,Female,2,1,Research Scientist,,Divorced,5013.0,0,Y,No,12,3,3.0,80,2,6,2.0,5,0
37,No,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,3,2,Sales Executive,,Married,3010.0,4,Y,Yes,11,3,3.0,80,1,17,,3,1
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,2,1,Research Scientist,2.0,Single,11757.0,1,Y,No,13,3,4.0,80,0,1,4.0,1,0
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,659,3,Female,3,2,Healthcare Representative,4.0,Married,5718.0,1,Y,No,13,3,2.0,80,2,10,3.0,10,2
43,No,Travel_Rarely,782,Research & Development,6,4,Other,1,661,2,Male,2,4,Research Director,4.0,Divorced,2671.0,4,Y,Yes,14,3,3.0,80,1,21,2.0,1,0
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,662,3,Female,3,1,Research Scientist,1.0,Single,14561.0,3,Y,No,17,3,4.0,80,0,8,2.0,0,0
43,No,Travel_Frequently,1001,Research & Development,9,5,Medical,1,663,4,Male,3,2,Laboratory Technician,3.0,Divorced,19627.0,3,Y,Yes,13,3,2.0,80,1,10,3.0,8,4
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,664,4,Female,2,4,Manager,1.0,Married,17997.0,7,Y,No,11,3,1.0,80,1,21,1.0,3,0
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,665,1,Female,2,2,Human Resources,3.0,Single,26894.0,4,Y,No,11,3,2.0,80,0,10,4.0,2,0
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,Female,3,1,Sales Representative,3.0,Divorced,2912.0,1,Y,Yes,18,3,4.0,80,2,8,3.0,8,0
